ColumnName,Tables,DataType,DataLength,Key
CustMinFee,"Softgate.TBillers,Softgate.Billers",money, , 
CustNameRequired,"Softgate.TBillers,Softgate.Billers",bit, , 
CustNameRequired,"Softgate.TBillers,Softgate.Billers",char,1, 
CustomerAddress,"MaxiMobile.TransferAdditionalInfo,dbo.BillPaymentTransactions,dbo.Transfer,dbo.PreTransfer,dbo.reporteautidoria2015,dbo.CustomerHistoryRequest,dbo.TransferClosed,dbo.PreTransferClosed",bit, , 
CustomerAddress,"MaxiMobile.TransferAdditionalInfo,dbo.BillPaymentTransactions,dbo.Transfer,dbo.PreTransfer,dbo.reporteautidoria2015,dbo.CustomerHistoryRequest,dbo.TransferClosed,dbo.PreTransferClosed",nvarchar,-1, 
CustomerAltNum,dbo.Soporte_OfacTest,bigint, , 
CustomerBornDate,"MoneyOrder.SaleRecord,dbo.Transfer,dbo.PreTransfer,dbo.reporteautidoria2015,dbo.TransferClosed,dbo.PreTransferClosed",datetime, , 
CustomerCellPhoneNumber,"BillPayment.TransferR,Regalii.TransferR",nvarchar,3000, 
CustomerCelullarNumber,"MoneyOrder.SaleRecord,dbo.Transfer,dbo.PreTransfer,dbo.reporteautidoria2015,dbo.TransferClosed,dbo.PreTransferClosed",nvarchar,-1, 
CustomerCelullarNumber,"MoneyOrder.SaleRecord,dbo.Transfer,dbo.PreTransfer,dbo.reporteautidoria2015,dbo.TransferClosed,dbo.PreTransferClosed",varchar,200, 
CustomerCity,"dbo.BillPaymentTransactions,dbo.Transfer,dbo.PreTransfer,dbo.reporteautidoria2015,dbo.TransferClosed,dbo.PreTransferClosed",nvarchar,-1, 
CustomerCountry,"dbo.Transfer,dbo.PreTransfer,dbo.TransferClosed,dbo.PreTransferClosed",nvarchar,-1, 
CustomerDateOfBirth,MaxiMobile.TransferAdditionalInfo,bit, , 
CustomerDob,dbo.BillPaymentTransactions,datetime, , 
CustomerEmail,dbo.FD_InquiryTicket,varchar,30, 
CustomerEntNum,dbo.Soporte_OfacTest,bigint, , 
CustomerExpirationIdentification,"MoneyOrder.SaleRecord,dbo.Transfer,dbo.PreTransfer,dbo.TransferClosed,dbo.PreTransferClosed",datetime, , 
CustomerFee,dbo.Checks,money, , 
CustomerFirstLastName,"dbo.TransferOFACReport,BillPayment.TransferR,MoneyOrder.SaleRecord,dbo.CustomerBlackList,Regalii.TransferR,dbo.CheckOFACInfo,dbo.TransferOFACInfo,dbo.Transfer,dbo.PreTransfer,dbo.reporteautidoria2015,dbo.TransferClosed,dbo.Soporte_OfacTest,dbo.PreTransferClosed",nvarchar,3000, 
CustomerFirstLastName,"dbo.TransferOFACReport,BillPayment.TransferR,MoneyOrder.SaleRecord,dbo.CustomerBlackList,Regalii.TransferR,dbo.CheckOFACInfo,dbo.TransferOFACInfo,dbo.Transfer,dbo.PreTransfer,dbo.reporteautidoria2015,dbo.TransferClosed,dbo.Soporte_OfacTest,dbo.PreTransferClosed",varchar,200, 
CustomerFirstName,dbo.BillPaymentTransactions,nvarchar,-1, 
CustomerFullAddress,MaxiMobile.TransferAdditionalInfo,bit, , 
CustomerFullName,"MaxiMobile.TransferAdditionalInfo,dbo.CustomerBlackList,dbo.reporteautidoria2015",bit, , 
customerfullname,"MaxiMobile.TransferAdditionalInfo,dbo.CustomerBlackList,dbo.reporteautidoria2015",nvarchar,2000, 
CustomerHasDuplicatedTaxId,MoneyOrder.SaleRecord,bit, , 
CustomerHasTaxId,MoneyOrder.SaleRecord,bit, , 
CustomerId,dbo.BillPaymentTransactions,int, ,FK
CustomerIdAgentCreatedBy,"dbo.Transfer,dbo.PreTransfer,dbo.TransferClosed,dbo.PreTransferClosed",int, , 
CustomerIdCarrier,"dbo.Transfer,dbo.PreTransfer,dbo.TransferClosed,dbo.PreTransferClosed",int, , 
CustomerIdCountryOfBirth,"MoneyOrder.SaleRecord,dbo.Transfer,dbo.PreTransfer,dbo.TransferClosed,dbo.PreTransferClosed",int, ,FK
CustomerIdCustomerIdentificationType,"dbo.Transfer,dbo.PreTransfer,dbo.IdenticationTransferByCustumer,dbo.TransferClosed,dbo.PreTransferClosed",int, , 
CustomerIdentificationIdCountry,"MoneyOrder.SaleRecord,dbo.Transfer,dbo.PreTransfer,dbo.TransferClosed,dbo.PreTransferClosed",int, ,FK
CustomerIdentificationIdState,"MoneyOrder.SaleRecord,dbo.Transfer,dbo.PreTransfer,dbo.TransferClosed,dbo.PreTransferClosed",int, ,FK
CustomerIdentificationNumber,"MoneyOrder.SaleRecord,dbo.Transfer,dbo.PreTransfer,dbo.reporteautidoria2015,dbo.TransferClosed,dbo.PreTransferClosed",nvarchar,-1, 
CustomerIdentificationNumber,"MoneyOrder.SaleRecord,dbo.Transfer,dbo.PreTransfer,dbo.reporteautidoria2015,dbo.TransferClosed,dbo.PreTransferClosed",varchar,200, 
CustomerIDExpiration,MaxiMobile.TransferAdditionalInfo,bit, , 
CustomerIdIdentificationType,MoneyOrder.SaleRecord,int, , 
CustomerIdIssuer,dbo.BillPaymentTransactions,nvarchar,-1, 
CustomerIDNumber,"MaxiMobile.TransferAdditionalInfo,dbo.BillPaymentTransactions",bit, , 
CustomerIdNumber,"MaxiMobile.TransferAdditionalInfo,dbo.BillPaymentTransactions",nvarchar,-1, 
CustomerIdOccupation,"MoneyOrder.SaleRecord,dbo.Transfer,dbo.PreTransfer,dbo.TransferClosed,dbo.PreTransferClosed",int, ,FK
CustomerIdSubcategoryOccupation,MoneyOrder.SaleRecord,int, , 
CustomerIdSubOccupation,"dbo.Transfer,dbo.PreTransfer,dbo.TransferClosed,dbo.PreTransferClosed",int, , 
CustomerIdType,dbo.BillPaymentTransactions,int, , 
CustomerIdTypeTaxId,MoneyOrder.SaleRecord,int, , 
CustomerLastName,"dbo.BillPaymentTransactions,dbo.CustomerHistoryRequest",nvarchar,-1, 
CustomerMatch,"MoneyOrder.SaleRecordOFACLog,dbo.TransferOFACReport,dbo.CheckOFACInfo,dbo.TransferOFACInfo",xml,-1, 
CustomerMiddleName,dbo.BillPaymentTransactions,nvarchar,-1, 
CustomerMoneySource,MoneyOrder.SaleRecord,varchar,200, 
CustomerName,"dbo.TransferOFACReport,BillPayment.TransferR,MoneyOrder.SaleRecord,dbo.CustomerBlackList,Regalii.TransferR,dbo.CheckOFACInfo,dbo.TransferOFACInfo,dbo.Transfer,dbo.PreTransfer,dbo.reporteautidoria2015,dbo.CustomerHistoryRequest,dbo.TransferClosed,dbo.Soporte_OfacTest,dbo.PreTransferClosed",nvarchar,3000, 
CustomerName,"dbo.TransferOFACReport,BillPayment.TransferR,MoneyOrder.SaleRecord,dbo.CustomerBlackList,Regalii.TransferR,dbo.CheckOFACInfo,dbo.TransferOFACInfo,dbo.Transfer,dbo.PreTransfer,dbo.reporteautidoria2015,dbo.CustomerHistoryRequest,dbo.TransferClosed,dbo.Soporte_OfacTest,dbo.PreTransferClosed",varchar,200, 
CustomerNameRequired,dbo.SoftgateBillPaymentTransactions,bit, , 
CustomerOccupation,"MaxiMobile.TransferAdditionalInfo,dbo.BillPaymentTransactions,dbo.Transfer,dbo.PreTransfer,dbo.reporteautidoria2015,dbo.TransferClosed,dbo.PreTransferClosed",bit, , 
CustomerOccupation,"MaxiMobile.TransferAdditionalInfo,dbo.BillPaymentTransactions,dbo.Transfer,dbo.PreTransfer,dbo.reporteautidoria2015,dbo.TransferClosed,dbo.PreTransferClosed",nvarchar,-1, 
CustomerOccupationDetail,"dbo.Transfer,dbo.PreTransfer,dbo.TransferClosed,dbo.PreTransferClosed",nvarchar,-1, 
CustomerOFACMatch,"dbo.PreTransfer,dbo.PreTransferClosed",xml,-1, 
CustomerOfacPercent,"dbo.TransferOFACReport,dbo.CheckOFACInfo,dbo.TransferOFACInfo",float, , 
CustomerPhoneNumber,"dbo.Transfer,dbo.PreTransfer,dbo.reporteautidoria2015,dbo.CustomerHistoryRequest,dbo.TransferClosed,dbo.PreTransferClosed",nvarchar,-1, 
CustomerPlaceOfBirth,MaxiMobile.TransferAdditionalInfo,bit, , 
CustomerPurpose,MoneyOrder.SaleRecord,varchar,200, 
CustomerQ,dbo.Soporte_OfacTest,float, , 
CustomerReceiveNumber,MoneyGram.Transaction,varchar,30, 
CustomerRelationship,MoneyOrder.SaleRecord,varchar,200, 
CustomerScore,MoneyOrder.SaleRecordOFACLog,tinyint, , 
CustomerSecondLastName,"dbo.TransferOFACReport,BillPayment.TransferR,MoneyOrder.SaleRecord,dbo.CustomerBlackList,Regalii.TransferR,dbo.CheckOFACInfo,dbo.TransferOFACInfo,dbo.Transfer,dbo.PreTransfer,dbo.reporteautidoria2015,dbo.CustomerHistoryRequest,dbo.TransferClosed,dbo.Soporte_OfacTest,dbo.PreTransferClosed",nvarchar,3000, 
CustomerSecondLastName,"dbo.TransferOFACReport,BillPayment.TransferR,MoneyOrder.SaleRecord,dbo.CustomerBlackList,Regalii.TransferR,dbo.CheckOFACInfo,dbo.TransferOFACInfo,dbo.Transfer,dbo.PreTransfer,dbo.reporteautidoria2015,dbo.CustomerHistoryRequest,dbo.TransferClosed,dbo.Soporte_OfacTest,dbo.PreTransferClosed",varchar,200, 
CustomerServiceMessage,MoneyGram.Transaction,varchar,300, 
CustomerSSN,"MaxiMobile.TransferAdditionalInfo,MoneyOrder.SaleRecord,dbo.BillPaymentTransactions",bit, , 
CustomerSsn,"MaxiMobile.TransferAdditionalInfo,MoneyOrder.SaleRecord,dbo.BillPaymentTransactions",nvarchar,-1, 
CustomerSSN,"MaxiMobile.TransferAdditionalInfo,MoneyOrder.SaleRecord,dbo.BillPaymentTransactions",varchar,200, 
CustomerSSNumber,"dbo.Transfer,dbo.PreTransfer,dbo.reporteautidoria2015,dbo.TransferClosed,dbo.PreTransferClosed",nvarchar,-1, 
CustomerState,"dbo.BillPaymentTransactions,dbo.Transfer,dbo.PreTransfer,dbo.reporteautidoria2015,dbo.TransferClosed,dbo.PreTransferClosed",nvarchar,-1, 
CustomerSubcategoryOccupationOther,MoneyOrder.SaleRecord,varchar,200, 
CustomerSubOccupationOther,"dbo.Transfer,dbo.PreTransfer,dbo.TransferClosed,dbo.PreTransferClosed",varchar,50, 
CustomerTelephone,dbo.BillPaymentTransactions,nvarchar,-1, 
CustomerZip,dbo.BillPaymentTransactions,nvarchar,-1, 
CustomerZipcode,"dbo.Transfer,dbo.PreTransfer,dbo.reporteautidoria2015,dbo.CustomerHistoryRequest,dbo.TransferClosed,dbo.PreTransferClosed",nvarchar,-1, 
CustomField1,"dbo.BillPaymentTransactions,dbo.BillAccounts",nvarchar,-1, 
CustomField1Label,dbo.BillAccounts,nvarchar,-1, 
CustomField2,"dbo.BillPaymentTransactions,dbo.BillAccounts",nvarchar,-1, 
CustomField2Label,dbo.BillAccounts,nvarchar,-1, 
CustZipCode,dbo.CellularRtrPurchaseTransactions,nvarchar,-1, 
CutOffTime,"BillPayment.BillersTempOct,BillPayment.BillersbACKUP202010,BillPayment.Billers,BillPayment.BillersTempFidelity",varchar,-1, 
D1Discount,lunex.TransferLN,money, , 
D2Discount,lunex.TransferLN,money, , 
DATA,dbo.tb_temp_data,xml,-1, 
DataLastChange,"dbo.StatusCustomerSAR,dbo.StatusBeneficiarySAR",datetime, , 
DataType,"BillPayment.EntityToValidateDataType,MoneyGram.FieldsForProduct",varchar,500, 
Date,"dbo.Unclaimed060313,dbo.PureMinutesResponseLog,Soporte.CollectionReport_PendingChecks,dbo.TToMobileResponseLog,dbo.PureMinutesTopUpResponseLog,dbo.UserChangeHistory,dbo.UserOptionChangeHistory,dbo.GirosMexResponseLog,dbo.DashboardForGatewayCountry,dbo.IntermexResponseLog,dbo.LogDbCorp,dbo.LogDataCorp,dbo.DepositSlipsCountLegacy,dbo.Dashboard,dbo.vw_DepositSlipsCountLegacy",date, , 
Date,"dbo.Unclaimed060313,dbo.PureMinutesResponseLog,Soporte.CollectionReport_PendingChecks,dbo.TToMobileResponseLog,dbo.PureMinutesTopUpResponseLog,dbo.UserChangeHistory,dbo.UserOptionChangeHistory,dbo.GirosMexResponseLog,dbo.DashboardForGatewayCountry,dbo.IntermexResponseLog,dbo.LogDbCorp,dbo.LogDataCorp,dbo.DepositSlipsCountLegacy,dbo.Dashboard,dbo.vw_DepositSlipsCountLegacy",datetime, , 
Date Of Transfer,dbo.GirosLatinosClaimCodes,nvarchar,255, 
DateBeginProcess,dbo.QueueFaxes,datetime, , 
DateCreate,"dbo.PendingFilesAgentApp,dbo.PendingFilesAgent,dbo.RelationTransferDocumentStatus",datetime, , 
DateCreated,"dbo.InvItem,dbo.CC_AccVerifByAg",datetime, , 
DateCreated,"dbo.InvItem,dbo.CC_AccVerifByAg",int, , 
DateDetectedCertificate,dbo.CertificateMachineData,datetime, , 
DateEnd,Corp.AgentAuditDocumentsLog,datetime, , 
DateEndProcess,dbo.QueueFaxes,datetime, , 
DateForCommision,BillPayment.AgentForBillers,datetime, , 
DateInsert,"dbo.News,dbo.QueueFaxes",datetime, , 
DateInToList,"dbo.DenyListIssuerChecks,dbo.DenyListBeneficiary,dbo.DenyListCustomer,dbo.WhiteListIssuerChecks",datetime, , 
DateLastChange,"BillPayment.LogBillPaymentResponse,TransFerTo.LogTransferTo,Regalii.LogRegalii,lunex.ServiceLogLunex,lunex.LogLunex,Infinite.ServiceLogInfinite,dbo.PendingFilesAgentApp,dbo.PendingFilesAgent,dbo.CountryBirth,dbo.RelationTransferDocumentStatus",datetime, , 
DateLastChangue,BillPayment.LogForBillers,datetime, , 
DateLog,"ExRateService.ServiceLogDetails,dbo.TestOfacLog,dbo.ServiceLogDetails,dbo.ServiceSumaryLogs",datetime, , 
DateLoggedData,dbo.CertificateMachineData,datetime, , 
DateOfAgentStatus,dbo.AgentFinalStatusHistory,datetime, , 
DateOfApplication,"dbo.SpecialCommissionBalance,dbo.FaxTrainingHistory",datetime, , 
DateOfApproval,Corp.OfacValidationDetail,datetime, , 
DateofAsignation,dbo.InvHistory,datetime, , 
DateOfAssign,"dbo.MaxiCollectionAssigntmp,dbo.MaxiCollectionAssign",datetime, , 
DateOfBankCommission,dbo.BankCommission,datetime, , 
DateOfBirth,"dbo.Checks,dbo.AgentApplicationsResp05Agosto2021,Corp.OfacValidationDetail,dbo.UploadFiles",date, , 
DateOfBirth,"dbo.Checks,dbo.AgentApplicationsResp05Agosto2021,Corp.OfacValidationDetail,dbo.UploadFiles",datetime, , 
DateOfBirthRequired,"dbo.KYCRule,dbo.DenyListCustomerActions,dbo.DenyListBeneficiaryActions,dbo.DocumentTypes",bit, , 
DateOfCancel,"Operation.ProductTransfer,BillPayment.TransferR,Regalii.TransferR,lunex.TransferLN",datetime, , 
DateOfChange,"Soporte.CustomerDepositAccountMigration,dbo.AgentChangeHistory,dbo.AgentStatusHistory,dbo.AgentApplicationsChangeHistory,dbo.PayerConfigScheduleLog",datetime, , 
DateOfChangeLastPassword,dbo.UsersAditionalInfo,datetime, , 
DateOfCollection,"dbo.AgentCommisionCollection,dbo.MaxiCollectionDetail,dbo.AgentSpecialCommCollection,dbo.MaxiCollection",datetime, , 
DateOfCreation,"dbo.Users,Operation.ProductTransfer,dbo.UsersSessionLog,dbo.IssuerChecks,dbo.SellerSessionLog,Corp.AgentSuspendedSubStatus,BillPayment.TransferR,dbo.AgentApplication,dbo.TransferFraud,dbo.usersofac,dbo.TransferFraudDetail,dbo.FaxFileHistory,dbo.CustomerBlackList,Regalii.TransferR,TransFerTo.TransferTTo,dbo.UsersSession,dbo.ZipCodeTimeZone,DTOne.Product,Regalii.Notes,WellsFargo.TransferWFEcheck,dbo.AgentApplicationsResp05Agosto2021,WellsFargo.WFConfig,lunex.TransferLN,WellsFargo.AgentAccount,dbo.AgentPromotion,Corp.OfacValidation,Corp.OfacValidationDetail,dbo.CreditLimitHistory,Corp.TaxIDType,Corp.OfacValidationDetailMatch,Corp.OfacValidationDetailMatchAka,dbo.GeneralUpdateTablesLog,TransFerTo.Currency,DTOne.Country,TransFerTo.Country,Corp.AgentAuditDocumentsLog,dbo.FaxTrainingHistory,TransFerTo.Carrier,TransFerTo.Product,dbo.AgentCodeGenerationLog,TransFerTo.Schema,Services.Email,dbo.UsersTemp,DTOne.Carrier,dbo.AgentApplications,Services.EmailConfig,DTOne.Currency,TransFerTo.AgentCredential,lunex.Login",datetime, , 
DateOfCreationUTC,"Operation.ProductTransfer,BillPayment.TransferR,Regalii.TransferR",datetime, , 
DateOfDebit,"dbo.MaxiCollectionDetail,dbo.MaxiCollection",datetime, , 
DateOfDetail,moneyalert.StatusChangePushMessageDetail,datetime, , 
DateOfEndOperation,WellsFargo.WFConfig,datetime, , 
DateOfFileCreation,"dbo.WellsFargoLogFile,dbo.MacroFinancieraLogFileTXT,dbo.BancoUnionLogFileTXT,dbo.PagosIntLogFileTXT,dbo.ServiCentroLogFileTXT,dbo.BancoIndustrialLogFileTXT",datetime, , 
DateOfFileGenerator,dbo.BancoUnionGeneradorFileName,datetime, , 
DateOfFirstAccess,dbo.UserPcAccess,datetime, , 
DateOfGenerator,"dbo.WellsFargoGeneradorIdFiles,dbo.ServiCentroGeneradorIdFiles,dbo.BancoIndustrialGeneradorIdFiles",datetime, , 
DateOfInitOperation,WellsFargo.WFConfig,datetime, , 
DateOfInsert,moneyalert.StoreProcedureUsage,datetime, , 
DateOfIssue,dbo.Checks,datetime, , 
DateOfLastAccess,"dbo.Seller,dbo.UserPcAccess",datetime, , 
DateOfLastChage,"dbo.ProviderCredential,dbo.ProviderContact",nvarchar,-1, 
DateOfLastChange,"dbo.TransferClosedOnWhoseBehalf,Corp.MaxiDepartment,dbo.CommisionCollectionConcept,dbo.FeeChecksHistory,dbo.Users,dbo.FeeChecksHistoryDetail,dbo.OtherProductStatus,dbo.AgentDocument,dbo.TransferResend,dbo.FD_InquiryTicket,dbo.IssuerChecks,dbo.TransferSSN,Corp.AgentSuspendedSubStatus,dbo.PureMinutesTransaction,dbo.InvSubAccount,dbo.AgentBankDeposit,dbo.PreTransferSSN,dbo.Owner-old,dbo.FeeChecks,dbo.RefExRate,dbo.AgentEntityType,dbo.CompetitionCountry,dbo.AgentApplication,dbo.AgentCommunication,dbo.FeeChecksDetail,dbo.AgentTaxIdType,dbo.CompetitionTransmitter,moneyalert.Beneficiary,dbo.PayerConfig,dbo.AgentStatus,dbo.FeeDetailByOtherProducts,moneyalert.BeneficiaryMobile,dbo.DenyListIssuerChecks,dbo.Fee,dbo.FeeByOtherProducts,dbo.AgentApplicationDocument,dbo.CommissionDetailByOtherProducts,moneyalert.Chat,dbo.BeneficiaryMirror,dbo.FeeDetail,dbo.Commission,dbo.CommissionByOtherProducts,dbo.AgentType,MoneyOrder.SaleRecord,dbo.AgentCreditLimitHistory,dbo.ContactEmail,dbo.AgentSchema,dbo.Agent,dbo.XAgentFolios,msg.Messages,dbo.usersofac,dbo.AgentSchemaDetail,dbo.TransferFraudDetail,msg.MessageSubcribers,dbo.AgentBankConfigAccount,dbo.SBReceiveUpdateMessageLog,dbo.AgentOfacNoteHistory,dbo.Ownerofac,dbo.RelationAgentSchema,Soporte.TransferUpdateRequest,msg.MessageSubscriberDetails,dbo.SBSendUpdateMessageLog,dbo.PontualAvailableBanks,dbo.Gateway,dbo.FaxType,dbo.Checks,dbo.DocumentOwnerType,dbo.SBMessageLog,moneyalert.Customer,moneyalert.CustomerMobile,dbo.FaxFileHistory,collection.Groups,dbo.CustomerBlackList,dbo.PureMinutesTopUpTransaction,moneyalert.Likes,dbo.AgentDeposit,Regalii.Billers,MoneyGram.Agent,dbo.CustomerBlackListRule,dbo.Country,dbo.OtherChargesMemo,dbo.AgentAppACHAgreement,MoneyGram.AgentStoreHours,dbo.CommissionDetail,dbo.Citybkp20211111,ExRateService.ExRateSchedule,dbo.State,dbo.City,dbo.AgentZeusView,dbo.ReasonNotCustomerCellphone,dbo.Payer,dbo.ReverseAgentOtherCharge,dbo.Spread,dbo.RefExRateByGroup,dbo.CheckHolds,dbo.Branch,Regalii.CurrenciesSpread,dbo.SpreadDetail,dbo.AgentClass,dbo.Currency,dbo.ZipCodeTimeZone,dbo.AuditLog,dbo.CountryCurrency,dbo.OwnerREsp05Agsoto2021,CheckConfig.Bank,dbo.AgentSchemaDetailFeeLog,dbo.AgentSchemaDetailCommissionLog,dbo.AgentApplicationStatuses,MoneyOrder.AgentRegistration,dbo.TelephoneTypeCatalog,DTOne.Product,dbo.AgentCollectType,dbo.AgentSchemaDetailTempSpreadLog,dbo.Customer,CheckConfig.BankAccount,dbo.AgentBusinessTypes,dbo.AgentSchemaDetailSpreadLog,dbo.Beneficiary,dbo.Transfer,dbo.AgentApplicationsResp05Agosto2021,dbo.BankCommission,dbo.ReasonForCancel,dbo.State_BK191113,WellsFargo.WFPIN,dbo.StatusToSendCellularMsg,dbo.SBSendGatewayMessageLog,dbo.SBReceiveGatewayMessageLog,dbo.ACHSummary,dbo.PreTransfer,MoneyGram.City,dbo.SBSendOriginMessageLog,dbo.PayerCommission,dbo.AgentAppW9Information,dbo.SBReceiveOriginMessageLog,Soporte.Customer180427,WellsFargo.WFConfig,MoneyGram.Currency,dbo.AgentApplicationStatusHistory,WellsFargo.WFShowIntro,dbo.AgentApplicationCompetition,dbo.InvItem,WellsFargo.AgentAccount,InternalSalesMonitor.AgentCompetition,MoneyGram.Country,dbo.AgentPromotion,dbo.AgentCreditApproval,dbo.ZipCode,dbo.InvItenAgent,InternalSalesMonitor.AgentSchemaDetails,MoneyGram.StateProvince,dbo.InvItemSeller,InternalSalesMonitor.CallHistory,dbo.CollectionNotificationRuleType,TransFerTo.ProductGroup,dbo.EvaluationOFACAutoRelease,Corp.TaxIDType,InternalSalesMonitor.Details,dbo.AgentOtherCharge,MoneyGram.CountryCurrency,MoneyGram.DeliveryOption,dbo.PayerConfigCommission,dbo.KYCRule,dbo.CollectionNotificationRule,TransFerTo.CustomerFrequentNumber,dbo.AgentAppEquipmentDetails,dbo.GenericTableLog,dbo.Quickbook,MoneyOrder.SequenceMovement,MoneyGram.Transaction,dbo.AgentAppAchInformation,dbo.ScannerProcessFile,dbo.DenyListBeneficiary,MoneyOrder.Sequence,TransFerTo.Currency,dbo.AgentCollection,DTOne.Country,dbo.AgentReimburseConfig,dbo.CheckRejectHistory,TransFerTo.Country,MoneyOrder.SaleRecordHold,dbo.OnWhoseBehalf,dbo.Notifications,TransFerTo.Carrier,dbo.SpecialCommissionRule,dbo.AgentCollectionConcept,TransFerTo.Product,dbo.AgentAdditionalEmail,dbo.CustomerMirror,dbo.AgentCollectionDetail,dbo.CountryExrateConfig,MoneyGram.Rewards,dbo.InvAccount,MoneyGram.RewardsCardType,dbo.TransferNotAllowedResend,dbo.Owner,MoneyGram.RewardsRegistration,dbo.SpecialCommissionRuleLog,dbo.AgentBusinessType,TransFerTo.Schema,Soporte.AgentCreditSuggest_SBQ,dbo.CountyClass,dbo.TransferReasonNotCustomerPhone,dbo.SpecialCommissionRuleRanges,Services.Email,dbo.RelationAgentBusinessType,dbo.TransferClosedHolds,dbo.PaymentMethod,dbo.UsersTemp,dbo.CallStatus,dbo.DenyListCustomer,dbo.County,MoneyGram.EnumeratedType,dbo.SpecialCommissionRuleRangesLog,dbo.PosStatus,dbo.TransferHolds,DTOne.Carrier,MoneyGram.Enumerators,dbo.AgentCreditSuggest,TransFerTo.AgentSchema,dbo.AgentApplications,dbo.OtherProductCommissionType,dbo.GatewayBranch,Services.EmailConfig,dbo.CallHistory,DTOne.Currency,dbo.AgentMirror,dbo.CardEntryMode,TransFerTo.AgentCredential,lunex.Login,dbo.GatewayConfigMail,dbo.TransferClosed,dbo.CardType,dbo.CallRegreats,dbo.PreTransferClosed,dbo.PosActionType",date, , 
